																															Class	Blank	Blank	Blank	hyuA	hyuA	hyuA	WT	WT	WT	NA	NA	NA	NA	NA	NA
																															File type	Blank	Blank	Blank	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA	NA	NA	NA	NA
																															Injection order	1	2	3	4	5	6	7	8	9	NA	NA	NA	NA	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	Average	Average	Average	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	GAM_UA_1	GAM_UA_2	GAM_UA_3	hyuA_UA_1	hyuA_UA_2	hyuA_UA_3	WT_UA_1	WT_UA_2	WT_UA_3	Blank	hyuA	WT	Blank	hyuA	WT
3	4.943	43.01777	Unknown	[M+H]+	similar chromatogram in higher mz_72; similar chromatogram in higher mz_65; similar chromatogram in higher mz_43; similar chromatogram in higher mz_6; similar chromatogram in higher mz_131; similar chromatogram in higher mz_836; similar chromatogram in higher mz_3031; similar chromatogram in higher mz_3743; similar chromatogram in higher mz_3872; similar chromatogram in higher mz_2599	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	61.32	hyuA_UA_2	43.01777:11184 44.02112:0 45.02448:6848		5424	5796	5294	30667	30948	30120	28344	27638	28581	5504.65380859375	30578.5768229167	28187.7252604167	260.536013185955	421.115623074575	490.268452879517
6	4.942	45.03339	Unknown	[M+H]+	similar chromatogram in higher mz_3031	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	64.87	hyuA_UA_1	45.03339:6695 46.03674:409 47.0401:0		3253	3490	3499	19052	16036	18015	17337	16850	15274	3414.068359375	17701.3131510417	16486.904296875	139.321046757874	1532.25491141185	1078.57554837414
8	4.564	55.05389	Unknown	[M+H]+	similar chromatogram in higher mz_106; similar chromatogram in higher mz_96; similar chromatogram in higher mz_11; similar chromatogram in higher mz_57; similar chromatogram in higher mz_58; similar chromatogram in higher mz_1541; similar chromatogram in higher mz_3113; similar chromatogram in higher mz_3901	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	337.84	WT_UA_1	55.05389:30018 56.05724:32499 57.0606:1593		361	461	585	87663	81496	84551	99256	82603	84896	469.116058349609	84569.9322916667	88918.3489583333	112.213663103803	3083.64331988768	9025.61664921123
11	4.565	56.04947	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	426.44	WT_UA_1	56.04947:30186 57.05282:1593 58.05618:0		429	432	759	95074	90846	91821	102096	97639	92711	540.085327148438	92580.5	97481.8125	189.359216887789	2214.03677143275	4694.39677174801
12	5.338	58.06514	Unknown	[M+H]+	similar chromatogram in higher mz_1236; similar chromatogram in higher mz_3507; similar chromatogram in higher mz_1940; similar chromatogram in higher mz_1046; similar chromatogram in higher mz_964; similar chromatogram in higher mz_2834; similar chromatogram in higher mz_2121; similar chromatogram in higher mz_2643; similar chromatogram in higher mz_4074	1	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1874.01	hyuA_UA_3	58.06514:646741 59.06849:21948 60.07185:310		53630	61625	61925	1346193	1919512	2157400	2001754	1526747	996237	59059.7942708333	1807701.66666667	1508246	4704.97051912018	417001.790558812	503013.735036303
13	4.566	59.04903	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	10.61	WT_UA_1	59.04903:7317 60.05238:607 61.05574:0		67	6.7337890625	6.7337890625	17684	18423	16824	20596	19368	16449	22.4459635416667	17643.4661458333	18804.1653645833	38.8775492790053	800.547139335929	2130.29757550125
20	3.232	60.08053	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	44.04	WT_UA_1	60.08053:16215 61.08388:777 62.08724:0		3465	4876	3609	68187	58581	55334	70007	65930	64435	3983.14664713542	60700.6549479167	66790.375	776.425052959488	6683.28319780312	2883.981126996
33	0.776	64.01556	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	33.91	hyuA_UA_1	64.01556:40141 65.01891:1063 66.02227:0		16379	7636	12978	142766	137766	133671	142187	135668	131809	12331.0725911458	138067.885416667	136554.859375	4407.41188351156	4555.22595247576	5245.5326451373
40	5.402	64.01574	Unknown	[M+H]+		0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	181.12	WT_UA_3	64.01574:183082 65.01909:4813 66.02245:0		37158	63556	50620	1221488	144204	41020	422559	68638	1492170	50445.0403645833	468903.88671875	661122.40625	13199.8337526553	653795.309794522	741144.145894968
41	5.163	64.01578	Unknown	[M+H]+		0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9.54	hyuA_UA_2	64.01578:128899 65.01913:3340 66.02249:0		53674	28113	21653	127246	457122	94285	121385	285726	351748	34480.0319010417	226217.6875	252953.005208333	16933.2927616863	200647.030786394	118626.830695188
42	5.321	64.01579	Unknown	[M+H]+		0.333	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	133.62	WT_UA_3	64.01579:255525 65.01914:6283 66.0225:0		54122	63556	55028	850504	83889	68678	422559	1364798	1278513	57568.828125	334357.244791667	1021956.86458333	5205.07110406861	447060.790572485	520883.197565923
43	4.942	69.03346	Unknown	[M+H]+	similar chromatogram in higher mz_3872	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	194.2	hyuA_UA_2	69.03346:13540 70.03681:671 71.04017:0		6453	7407	6818	37547	36879	34722	33287	32856	34508	6892.78255208333	36382.83203125	33550.3958333333	481.436548159376	1476.17612016458	857.2834058297
47	0.661	71.0853	Unknown	[M+H]+		0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	38.51	WT_UA_2	71.0853:3107 72.08865:352 73.09201:0		11.9448936462402	119	262	477	176	180	259	8730	157	127.114336649577	277.641540527344	3048.37176005046	131.115198210725	172.513731458115	4920.37912160051
50	4.901	72.08089	Unknown	[M+H]+	similar chromatogram in higher mz_498; similar chromatogram in higher mz_3674; similar chromatogram in higher mz_2578	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	334.37	hyuA_UA_2	72.08089:77411 73.08424:4369 74.0876:0		2759	3531	2040	175855	185241	177392	145538	182711	148325	2776.59928385417	179496.088541667	158858.291666667	745.499780274314	5034.60465038488	20704.1773827416
52	1.481	73.06477	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	63.05	WT_UA_1	73.06477:4996 74.06812:0 75.07148:0		178	235	70	17826	15817	16620	16902	16569	16712	160.807250976563	16754.142578125	16727.2291666667	83.6321729157391	1011.40624102152	167.063821604941
57	4.566	82.06487	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	100.18	WT_UA_3	82.06487:5433 83.06822:0 84.07158:956		138	13.7899307250977	13.7899307250977	16383	16052	15807	18193	16091	17199	45.9664357503255	16080.5227864583	17160.9847005208	79.6162021624142	288.774498659595	1051.50066653349
58	4.565	83.0488	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	121.76	WT_UA_1	83.0488:21285 84.05215:1598 85.05551:0		447	260	193	67840	64081	62274	72248	66054	67164	300.321929931641	64731.6848958333	68488.8098958333	131.698350161232	2839.28502330747	3302.6091758715
